﻿Title:,"Table 5 - Finances and people"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","Total income (£)","Teaching income (£)","Research income (£)","Other non-residential income (£)","Non-residential income total (£)","Total expenditure (£)"
"10004797","The Nottingham Trent University","271,768,000","237,718,000","10,872,000","15,199,000","263,789,000","264,063,000"
"10007773","The Open University","426,700,000","366,550,000","23,760,000","36,012,000","426,322,000","421,249,000"
"10004930","Oxford Brookes University","198,106,000","142,608,000","8,883,000","16,628,000","168,119,000","192,118,000"
"10007774","The University of Oxford","1,400,381,000","359,106,000","707,577,000","328,706,000","1,395,389,000","1,396,934,000"
"10005127","Arts University Plymouth","15,730,000","15,283,000","0","446,000","15,729,000","15,688,000"
"10007801","University of Plymouth","252,802,000","179,638,000","22,474,000","41,220,000","243,332,000","249,750,000"
"10007155","The University of Portsmouth","233,682,000","199,718,000","13,418,000","9,747,000","222,883,000","226,959,000"
"10005337","Queen Margaret University, Edinburgh","39,152,000","27,265,000","2,902,000","4,141,000","34,308,000","39,925,000"
"10007775","Queen Mary University of London","430,123,000","238,951,000","140,639,000","33,670,000","413,260,000","410,988,000"
"10005389","Ravensbourne University London","25,939,000","24,432,000","112,000","1,395,000","25,939,000","25,843,000"
"10007802","The University of Reading","288,894,000","175,014,000","53,889,000","49,240,000","278,143,000","300,933,000"
"10005500","Robert Gordon University","93,839,000","73,953,000","4,343,000","6,802,000","85,098,000","101,595,000"
"10007776","Roehampton University","117,783,000","91,318,000","4,834,000","4,967,000","101,119,000","113,200,000"
"10005523","Rose Bruford College of Theatre and Performance","9,251,000","7,492,000","65,000","558,000","8,115,000","9,777,000"
"10007835","Royal Academy of Music","24,523,000","14,474,000","324,000","9,080,000","23,878,000","20,402,000"
"10005545","Royal Agricultural University","19,692,000","13,584,000","192,000","2,235,000","16,011,000","19,293,000"
"10007777","Royal College of Art","62,893,000","51,542,000","5,384,000","5,407,000","62,333,000","46,390,000"
"10007778","Royal College of Music","35,931,000","17,414,000","1,373,000","16,765,000","35,552,000","25,140,000"
"10007816","The Royal Central School of Speech and Drama","19,372,000","16,843,000","792,000","1,646,000","19,281,000","16,402,000"
"10005553","Royal Holloway and Bedford New College","166,907,000","109,342,000","26,521,000","8,843,000","144,706,000","161,244,000"
"10007837","Royal Northern College of Music","21,888,000","14,750,000","408,000","5,557,000","20,715,000","20,059,000"
"10007779","The Royal Veterinary College","85,647,000","40,319,000","15,442,000","27,097,000","82,858,000","78,611,000"
"10007803","The University of St. Andrews","229,991,000","113,062,000","58,328,000","23,166,000","194,556,000","218,307,000"
"10007782","St George's, University of London","86,576,000","45,259,000","16,030,000","21,888,000","83,177,000","87,873,000"
"10008026","St Mary's University College","8,765,000","8,093,000","26,000","505,000","8,624,000","8,294,000"
"10007843","St Mary's University, Twickenham","52,328,000","43,237,000","524,000","1,937,000","45,698,000","56,923,000"
"10007156","The University of Salford","195,140,000","167,999,000","9,600,000","9,933,000","187,532,000","188,468,000"
