﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Doctorate research","Other postgraduate research","Master's taught","Postgraduate Certificate in Education","Other postgraduate taught","Total postgraduate","First degree","Foundation degree","HNC/HND","Professional Graduate Certificate in Education","Other undergraduate","Total undergraduate","Total"
"10008362","London School of Science and Technology Limited","0","0","0","0","0","0","275","110","425","0","0","810","810"
"10007780","SOAS University of London","145","5","1,400","0","105","1,655","825","0","0","0","150","975","2,630"
"10005700","SRUC","0","0","40","0","0","40","210","0","545","0","0","755","800"
"10005790","Sheffield Hallam University","120","15","1,705","650","770","3,255","6,510","200","30","25","730","7,495","10,750"
"10007157","The University of Sheffield","800","15","4,355","50","850","6,075","5,230","50","0","0","120","5,400","11,475"
"10023458","The Sherwood Psychotherapy Training Institute Limited","0","0","25","0","0","25","20","0","0","0","0","20","50"
"10005916","Slough Borough Council","0","0","0","0","0","0","25","30","0","0","0","55","55"
"10006022","Solent University","10","5","250","0","75","335","2,205","170","310","0","290","2,980","3,315"
"10007158","The University of Southampton","605","60","3,415","255","310","4,645","4,760","0","0","0","155","4,915","9,560"
"10006093","Spurgeon's College","5","0","15","0","5","20","25","0","0","0","20","50","70"
"10006299","Staffordshire University","35","0","485","130","320","970","2,685","745","65","0","575","4,075","5,045"
"10007804","The University of Stirling","85","5","1,060","0","435","1,590","1,790","0","0","0","210","2,005","3,595"
"10037449","University of St Mark and St John","0","0","50","120","80","255","595","50","0","5","35","690","940"
"10008010","Stranmillis University College","0","0","5","15","35","55","290","140","0","0","0","425","480"
"10007805","The University of Strathclyde","340","35","2,170","845","720","4,115","3,170","0","0","0","445","3,610","7,725"
"10014001","University of Suffolk","0","0","90","0","85","180","820","320","55","25","180","1,400","1,580"
"10007159","The University of Sunderland","30","0","800","280","340","1,450","3,085","265","10","35","745","4,140","5,590"
"10007160","The University of Surrey","235","0","1,540","0","255","2,030","3,020","20","0","0","330","3,370","5,400"
"10007806","The University of Sussex","265","5","2,575","425","285","3,555","3,660","0","0","0","140","3,800","7,350"
"10007855","Swansea University","190","85","1,370","0","365","2,010","4,145","35","0","0","535","4,715","6,725"
"10007161","Teesside University","35","0","650","0","705","1,390","2,920","375","515","75","665","4,550","5,940"
"10037822","Tottenham Hotspur Foundation","0","0","0","0","0","0","0","25","0","0","0","25","25"
"10008017","Trinity Laban Conservatoire of Music and Dance","5","0","120","0","30","150","180","0","0","0","40","215","365"
"10007858","University of Wales Trinity Saint David","15","10","280","270","195","770","1,390","140","175","65","1,105","2,875","3,645"
"10007114","University of the Highlands and Islands","15","0","100","120","120","355","865","0","1,975","0","360","3,205","3,560"
"10007807","Ulster University","140","0","1,160","110","1,330","2,740","4,580","0","0","0","995","5,575","8,315"
"10039956","The University of Law","0","0","2,685","0","985","3,675","345","0","0","0","1,035","1,380","5,055"
"10007784","University College London","1,230","370","9,255","865","1,210","12,930","5,215","0","0","10","320","5,545","18,475"
"10007793","University of South Wales","40","20","1,140","0","545","1,750","3,885","595","295","0","1,195","5,970","7,720"
"10029843","Waltham International College Limited","0","0","0","0","0","0","0","0","0","0","60","60","60"
"10007163","The University of Warwick","435","30","4,235","345","445","5,485","4,410","70","0","45","625","5,150","10,640"
"10007361","Waverley Abbey College","0","0","10","0","0","10","15","0","0","0","20","30","40"
"10007164","University of the West of England, Bristol","45","0","1,120","230","670","2,065","5,235","130","0","0","275","5,640","7,705"
"10007800","The University of the West of Scotland","60","0","635","0","960","1,660","4,965","0","0","0","210","5,170","6,830"
"10032288","West Dean College","0","0","15","0","5","20","0","10","0","0","20","25","45"
"10006566","The University of West London","10","0","460","0","170","640","2,145","130","0","0","235","2,510","3,150"
"10007165","The University of Westminster","50","5","2,180","0","645","2,875","3,355","5","0","0","540","3,905","6,780"
"10003614","The University of Winchester","25","0","315","205","185","730","1,745","25","0","15","155","1,950","2,680"
"10023290","West London College of Business and Management Sciences Limited","0","0","0","0","0","0","0","0","180","0","0","180","180"
"10007166","The University of Wolverhampton","25","5","565","325","720","1,635","3,350","220","70","25","750","4,415","6,050"
"10007139","University of Worcester","10","0","295","310","205","820","2,240","570","50","0","285","3,145","3,965"
"10007833","Wrexham University","10","0","160","0","75","245","790","85","95","50","150","1,165","1,415"
"10007657","Writtle University College","0","0","15","0","5","20","175","5","0","0","65","245","270"
"10007713","York St John University","10","5","75","150","45","290","1,525","15","0","0","240","1,780","2,065"
"10007167","The University of York","375","50","2,125","115","415","3,075","3,735","20","0","0","595","4,350","7,425"
"","Total","24,975","4,435","206,755","21,490","57,075","314,730","432,215","12,105","10,095","1,545","57,770","513,720","828,455"
