﻿Title:,"Table 8 - Expenditure - breakdown by HE provider, activity, HESA cost centre and academic year"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2019/20 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Financial Year End","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10010227","Oak Hill College","2020-07-31","3,788","2,271","6,059","0","3,839","1,492","86","11,476"
"10007773","The Open University","2020-07-31","148,986","107,486","256,472","39,212","115,368","6,521","3,024","420,597"
"10004930","Oxford Brookes University","2020-07-31","56,342","59,922","116,264","0","65,579","17,517","8,647","208,007"
"10007774","The University of Oxford","2020-07-31","381,755","505,920","887,675","0","1,103,764","112,102","41,955","2,145,496"
"10005127","Arts University Plymouth","2020-07-31","4,746","5,176","9,922","0","4,162","888","344","15,316"
"10007801","University of Plymouth","2020-07-31","70,042","61,456","131,498","0","67,774","18,793","6,215","224,280"
"10019178","Point Blank Music School","2019-12-31","1,239","1,478","2,717","0","2,318","125","0","5,160"
"10007155","The University of Portsmouth","2020-07-31","87,461","72,660","160,121","0","82,049","17,774","8,184","268,128"
"10083476","The Prince's Foundation","2020-03-31","1,618","6,487","8,105","0","7,834","2,145","169","18,253"
"10005337","Queen Margaret University, Edinburgh","2020-07-31","12,132","11,021","23,153","0","10,901","5,314","1,548","40,916"
"10007775","Queen Mary University of London","2020-07-31","152,825","96,279","249,104","0","156,345","26,564","9,149","441,162"
"10025197","University Centre Quayside Limited","2020-02-28","0","1,020","1,020","0","357","50","0","1,427"
"10009292","Royal Academy of Dramatic Art","2020-07-31","2,248","3,871","6,119","33","8,724","782","0","15,658"
"10005544","Royal Academy of Dance","2020-07-31","728","10,771","11,499","0","7,732","480","100","19,811"
"10005389","Ravensbourne University London","2020-07-31","7,538","8,126","15,664","0","10,020","1,403","354","27,441"
"10005470","Richmond, The American International University in London","2020-06-30","5,073","3,483","8,556","342","17,882","840","240","27,860"
"10007802","The University of Reading","2020-07-31","75,632","64,027","139,659","0","108,514","27,743","7,030","282,946"
"10021100","Regents Theological College","2019-09-30","429","32,688","33,117","0","30,630","1,484","2,471","67,702"
"10023871","Results Consortium Limited","2020-03-31","252","162","414","0","436","2","0","852"
"10008455","Regent College London","2020-07-31","3,874","2,582","6,456","548","5,684","173","27","12,888"
"10005500","Robert Gordon University","2020-07-31","35,627","29,446","65,073","368","25,937","7,962","2,120","101,460"
"10007776","Roehampton University","2020-07-31","39,172","26,190","65,362","0","68,217","7,435","5,487","146,501"
"10020436","Royal School of Needlework (The)","2019-08-31","523","605","1,128","0","1,059","28","0","2,215"
"10005523","Rose Bruford College of Theatre and Performance","2020-07-31","2,498","2,403","4,901","0","4,286","484","60","9,731"
"10007835","Royal Academy of Music","2020-07-31","7,287","5,751","13,038","0","10,041","1,802","81","24,962"
"10005545","Royal Agricultural University","2020-07-31","3,829","6,645","10,474","0","7,923","977","342","19,716"
"10007777","Royal College of Art","2020-07-31","15,099","12,976","28,075","0","30,720","3,938","153","62,886"
"10007778","Royal College of Music","2020-07-31","6,798","7,730","14,528","0","10,768","1,845","251","27,392"
"10005561","Royal Conservatoire of Scotland","2020-07-31","10,429","8,725","19,154","0","5,148","894","0","25,196"
"10007816","The Royal Central School of Speech and Drama","2020-07-31","6,122","5,910","12,032","0","6,043","1,236","423","19,734"
"10005553","Royal Holloway and Bedford New College","2020-07-31","63,949","23,662","87,611","0","56,128","19,000","5,011","167,750"
"10007837","Royal Northern College of Music","2020-07-31","6,788","7,060","13,848","0","7,647","1,673","337","23,505"
"10007779","The Royal Veterinary College","2020-07-31","24,793","22,750","47,543","0","32,782","8,279","1,588","90,192"
"10007803","The University of St. Andrews","2020-07-31","53,163","63,142","116,305","0","93,473","14,715","6,145","230,638"
"10007839","SAE Education Limited","2020-06-30","2,112","1,242","3,354","0","3,887","1,429","203","8,873"
"10007782","St George's, University of London","2020-07-31","22,040","26,484","48,524","0","28,497","6,923","1,937","85,881"
"10008026","St Mary's University College","2020-07-31","2,992","3,476","6,468","0","2,104","352","149","9,073"
"10007843","St Mary's University, Twickenham","2020-07-31","14,869","20,522","35,391","0","12,699","4,158","362","52,610"
"10007156","The University of Salford","2020-07-31","60,200","43,791","103,991","0","62,317","13,846","5,576","185,730"
"10021256","The Salvation Army","2020-03-31","228","92,364","92,592","0","132,503","10,182","240","235,517"
"10007780","SOAS University of London","2020-07-31","24,294","21,101","45,395","2,302","26,570","6,123","691","81,081"
"10005700","SRUC","2020-07-31","15,926","29,723","45,649","2,154","30,491","5,876","764","84,934"
"10005790","Sheffield Hallam University","2020-07-31","107,393","87,229","194,622","0","73,053","23,792","7,560","299,027"
"10007157","The University of Sheffield","2020-07-31","171,316","123,668","294,984","0","209,401","85,933","18,923","609,241"
"10023458","The Sherwood Psychotherapy Training Institute Limited","2019-08-31","386","350","736","0","317","11","0","1,064"
"10006022","Solent University","2020-07-31","30,971","30,435","61,406","0","37,084","8,789","2,966","110,245"
"10007158","The University of Southampton","2020-07-31","134,478","123,468","257,946","0","177,194","31,363","20,222","486,725"
"10006093","Spurgeon's College","2020-07-31","668","389","1,057","0","770","26","64","1,917"
"10006299","Staffordshire University","2020-07-31","38,603","28,058","66,661","0","36,737","10,598","3,237","117,233"
"10008098","Study Group","2019-12-31","22,410","16,895","39,305","1,021","94,410","10,860","4,067","149,663"
"10007804","The University of Stirling","2020-07-31","44,766","17,889","62,655","0","33,301","9,269","3,503","108,728"
"10037449","University of St Mark and St John","2020-07-31","5,765","7,763","13,528","125","12,217","2,151","871","28,892"
"10008010","Stranmillis University College","2020-07-31","3,792","4,135","7,927","0","2,996","1,161","160","12,244"
"10007805","The University of Strathclyde","2020-07-31","77,076","84,474","161,550","602","101,856","31,370","3,365","298,743"
"10014001","University of Suffolk","2020-07-31","10,415","5,019","15,434","0","36,188","3,488","1,399","56,509"
