﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK","European Union","Non-European Union","Total Non-UK","Not known","Total"
"10007801","University of Plymouth","16,955","40","620","90","90","17,795","610","1,240","1,850","0","19,645"
"10019178","Point Blank Music School","240","10","5","0","20","270","60","85","140","0","410"
"10007155","The University of Portsmouth","20,450","75","385","80","55","21,040","1,120","3,355","4,475","0","25,515"
"10005337","Queen Margaret University, Edinburgh","515","3,410","35","140","15","4,110","815","300","1,115","0","5,225"
"10007775","Queen Mary University of London","13,315","80","165","55","10","13,625","1,880","5,055","6,935","0","20,560"
"10005544","Royal Academy of Dance","100","5","0","5","5","110","20","5","25","0","140"
"10005389","Ravensbourne University London","2,135","10","5","25","5","2,180","145","200","345","0","2,530"
"10005470","Richmond, The American International University in London","320","5","5","0","0","330","210","370","580","0","910"
"10007802","The University of Reading","12,790","70","535","55","70","13,520","1,070","3,215","4,285","0","17,805"
"10003331","Regent's University London","425","5","0","0","0","430","575","1,265","1,840","0","2,270"
"10021100","Regents Theological College","180","5","30","5","0","220","5","0","5","0","225"
"10008455","Regent College London","1,020","0","0","0","0","1,025","0","0","0","0","1,025"
"10005500","Robert Gordon University","770","9,410","30","75","25","10,310","1,035","990","2,025","0","12,335"
"10007776","Roehampton University","11,390","15","35","30","0","11,465","505","695","1,195","0","12,665"
"10005523","Rose Bruford College of Theatre and Performance","575","15","25","0","0","610","55","70","125","0","735"
"10007835","Royal Academy of Music","415","35","30","0","5","485","175","220","395","0","880"
"10005545","Royal Agricultural University","945","20","30","10","0","1,010","45","95","140","0","1,150"
"10007777","Royal College of Art","665","20","15","0","0","700","545","1,155","1,700","0","2,400"
"10007778","Royal College of Music","365","20","20","0","0","410","170","245","415","0","825"
"10005561","Royal Conservatoire of Scotland","190","640","15","20","0","860","175","245","415","0","1,280"
"10007816","The Royal Central School of Speech and Drama","670","25","15","0","0","715","125","215","340","0","1,055"
"10005553","Royal Holloway and Bedford New College","7,785","20","125","20","25","7,970","845","2,225","3,070","0","11,040"
"10007837","Royal Northern College of Music","510","40","45","10","5","615","75","190","265","0","880"
"10007779","The Royal Veterinary College","1,850","50","70","25","0","1,990","90","445","530","0","2,525"
"10007803","The University of St. Andrews","2,570","2,905","80","170","30","5,755","1,075","3,745","4,820","0","10,570"
"10007839","SAE Education Limited","465","105","5","5","0","575","60","35","100","0","675"
"10007782","St George's, University of London","4,215","15","45","15","5","4,305","70","315","385","0","4,690"
"10008026","St Mary's University College","0","0","0","1,025","0","1,025","20","0","20","0","1,045"
"10007843","St Mary's University, Twickenham","4,515","25","40","95","10","4,680","230","165","395","0","5,075"
"10007156","The University of Salford","18,335","80","365","205","25","19,010","550","1,255","1,805","0","20,815"
"10021256","The Salvation Army","35","0","0","0","0","35","0","0","0","0","35"
"10008362","London School of Science and Technology Limited","1,460","0","0","0","5","1,465","0","0","0","0","1,465"
"10007780","SOAS University of London","3,150","40","45","10","10","3,265","860","1,670","2,530","10","5,800"
"10005700","SRUC","125","1,530","10","15","0","1,680","65","15","80","0","1,760"
"10005790","Sheffield Hallam University","28,025","95","205","75","65","28,465","485","1,765","2,250","0","30,715"
"10007157","The University of Sheffield","19,535","110","330","85","55","20,115","1,555","8,525","10,080","0","30,195"
